X;Y;week;year
27.5485103863314;69.5454257806592;43;2012
27.5485103863314;69.5454257806592;42;2012
27.5485103863314;69.5454257806592;40;2013
27.5485103863314;69.5454257806592;19;2013
27.5485103863314;69.5454257806592;29;2013
28.2803458426763;69.4752405401589;24;2013
29.0076515344259;69.4022855654816;38;2013
29.7303031776271;69.3265886317173;24;2013
29.7303031776271;69.3265886317173;26;2013
29.7303031776271;69.3265886317173;25;2012
29.7303031776271;69.3265886317173;42;2013
29.7303031776271;69.3265886317173;32;2013
29.7303031776271;69.3265886317173;25;2013
29.7303031776271;69.3265886317173;28;2013
29.7303031776271;69.3265886317173;27;2013
18.3606649558753;69.8926543226148;3;2013
18.3606649558753;69.8926543226148;45;2012
19.1253931764998;69.8580601529008;20;2013
19.1253931764998;69.8580601529008;47;2012
